home,away,hg,ag
# Real 2026 FIFA World Cup group-stage results (source: Wikipedia group pages), as of 2026-07-03.
# All 12 groups are complete (72/72 matches).
# Applied to the live DB as official results by: python maintenance.py seed-results
# Orientation here is the real-world home/away; the seeder maps each pair to the app fixture's
# match_id and flips the score to the fixture orientation automatically. Team names use the app's
# canonical spellings (USA / Côte d'Ivoire / Cabo Verde).
#
# Group A (complete)
Mexico,South Africa,2,0
South Korea,Czech Republic,2,1
Czech Republic,South Africa,1,1
Mexico,South Korea,1,0
Czech Republic,Mexico,0,3
South Africa,South Korea,1,0
# Group B (complete)
Canada,Bosnia and Herzegovina,1,1
Qatar,Switzerland,1,1
Switzerland,Bosnia and Herzegovina,4,1
Canada,Qatar,6,0
Switzerland,Canada,2,1
Bosnia and Herzegovina,Qatar,3,1
# Group C (complete)
Brazil,Morocco,1,1
Haiti,Scotland,0,1
Scotland,Morocco,0,1
Brazil,Haiti,3,0
Scotland,Brazil,0,3
Morocco,Haiti,4,2
# Group D (complete)
USA,Paraguay,4,1
Australia,Turkey,2,0
USA,Australia,2,0
Turkey,Paraguay,0,1
Turkey,USA,3,2
Paraguay,Australia,0,0
# Group E (complete)
Germany,Curaçao,7,1
Côte d'Ivoire,Ecuador,1,0
Germany,Côte d'Ivoire,2,1
Ecuador,Curaçao,0,0
Curaçao,Côte d'Ivoire,0,2
Ecuador,Germany,2,1
# Group F (complete)
Netherlands,Japan,2,2
Sweden,Tunisia,5,1
Netherlands,Sweden,5,1
Tunisia,Japan,0,4
Japan,Sweden,1,1
Tunisia,Netherlands,1,3
# Group G (complete)
Belgium,Egypt,1,1
Iran,New Zealand,2,2
Belgium,Iran,0,0
New Zealand,Egypt,1,3
Egypt,Iran,1,1
New Zealand,Belgium,1,5
# Group H (complete)
Spain,Cabo Verde,0,0
Saudi Arabia,Uruguay,1,1
Spain,Saudi Arabia,4,0
Uruguay,Cabo Verde,2,2
Cabo Verde,Saudi Arabia,0,0
Uruguay,Spain,0,1
# Group I (complete)
France,Senegal,3,1
Iraq,Norway,1,4
France,Iraq,3,0
Norway,Senegal,3,2
Norway,France,1,4
Senegal,Iraq,5,0
# Group J (complete)
Argentina,Algeria,3,0
Austria,Jordan,3,1
Argentina,Austria,2,0
Jordan,Algeria,1,2
Algeria,Austria,3,3
Jordan,Argentina,1,3
# Group K (complete)
Portugal,DR Congo,1,1
Uzbekistan,Colombia,1,3
Portugal,Uzbekistan,5,0
Colombia,DR Congo,1,0
Colombia,Portugal,0,0
DR Congo,Uzbekistan,3,1
# Group L (complete)
England,Croatia,4,2
Ghana,Panama,1,0
England,Ghana,0,0
Panama,Croatia,0,1
Panama,England,0,2
Croatia,Ghana,2,1
