group,position,team,played,wins,draws,losses,gf,ga,pts
# Current real-world final group standings (all 12 groups complete), used by
# `python maintenance.py seed-standings`. This is the source of truth for the cross-group "best
# third-placed team" ranking (engine.third_scalar uses these real pts/gd/gf instead of model
# projections once a group has an override here) so the Round of 32 Best-3rd slots resolve to the
# real qualifiers. gd is derived (gf-ga) and is not stored here.
A,1,Mexico,3,3,0,0,6,0,9
A,2,South Africa,3,1,1,1,2,3,4
A,3,South Korea,3,1,0,2,2,3,3
A,4,Czech Republic,3,0,1,2,2,6,1
B,1,Switzerland,3,2,1,0,7,3,7
B,2,Canada,3,1,1,1,8,3,4
B,3,Bosnia and Herzegovina,3,1,1,1,5,6,4
B,4,Qatar,3,0,1,2,2,10,1
C,1,Brazil,3,2,1,0,7,1,7
C,2,Morocco,3,2,1,0,6,3,7
C,3,Scotland,3,1,0,2,1,4,3
C,4,Haiti,3,0,0,3,2,8,0
D,1,USA,3,2,0,1,8,4,6
D,2,Australia,3,1,1,1,2,2,4
D,3,Paraguay,3,1,1,1,2,4,4
D,4,Turkey,3,1,0,2,3,5,3
E,1,Germany,3,2,0,1,10,4,6
E,2,Côte d'Ivoire,3,2,0,1,4,2,6
E,3,Ecuador,3,1,1,1,2,2,4
E,4,Curaçao,3,0,1,2,1,9,1
F,1,Netherlands,3,2,1,0,10,4,7
F,2,Japan,3,1,2,0,7,3,5
F,3,Sweden,3,1,1,1,7,7,4
F,4,Tunisia,3,0,0,3,2,12,0
G,1,Belgium,3,1,2,0,6,2,5
G,2,Egypt,3,1,2,0,5,3,5
G,3,Iran,3,0,3,0,3,3,3
G,4,New Zealand,3,0,1,2,4,10,1
H,1,Spain,3,2,1,0,5,0,7
H,2,Cabo Verde,3,0,3,0,2,2,3
H,3,Uruguay,3,0,2,1,3,4,2
H,4,Saudi Arabia,3,0,2,1,1,5,2
I,1,France,3,3,0,0,10,2,9
I,2,Norway,3,2,0,1,8,7,6
I,3,Senegal,3,1,0,2,8,6,3
I,4,Iraq,3,0,0,3,1,12,0
J,1,Argentina,3,3,0,0,8,1,9
J,2,Austria,3,1,1,1,6,6,4
J,3,Algeria,3,1,1,1,5,7,4
J,4,Jordan,3,0,0,3,3,8,0
K,1,Colombia,3,2,1,0,4,1,7
K,2,Portugal,3,1,2,0,6,1,5
K,3,DR Congo,3,1,1,1,4,3,4
K,4,Uzbekistan,3,0,0,3,2,11,0
L,1,England,3,2,1,0,6,2,7
L,2,Croatia,3,2,0,1,5,5,6
L,3,Ghana,3,1,1,1,2,2,4
L,4,Panama,3,0,0,3,0,4,0
