player_id,name,nation,position,rating,market_value_eur,club,is_current_callup
1,R. Mahrez,Algeria,MID,84,20000000,Al Ahli SFC,True
2,R. Aït-Nouri,Algeria,DEF,81,34500000,Manchester City,True
3,I. Bennacer,Algeria,MID,80,23000000,Dinamo Zagreb,True
4,M. Amoura,Algeria,FWD,80,29500000,VfL Wolfsburg,True
5,R. Bensebaini,Algeria,DEF,79,15000000,Borussia Dortmund,True
6,A. Gouiri,Algeria,FWD,79,26000000,Olympique de Marseille,True
7,A. Zorgane,Algeria,MID,78,16000000,Union Saint-Gilloise,True
8,N. Bentaleb,Algeria,MID,77,9000000,Lille OSC,True
9,S. Benrahma,Algeria,FWD,77,10500000,NEOM SC,True
10,H. Aouar,Algeria,MID,77,12000000,Al Ittihad,True
11,H. Boudaoui,Algeria,MID,77,14000000,OGC Nice,True
12,H. Abdelli,Algeria,MID,76,10500000,Angers SCO,True
13,I. Kebbal,Algeria,MID,76,8000000,Paris FC,True
14,A. Hadj-Moussa,Algeria,FWD,76,12000000,Feyenoord,True
15,A. Mandi,Algeria,DEF,75,2700000,Lille OSC,True
16,A. Sâyoud,Algeria,MID,75,2600000,Al Hazem FC,True
17,B. Bouanani,Algeria,FWD,75,11000000,VfB Stuttgart,True
18,R. Ghezzal,Algeria,MID,74,2600000,Olympique Lyonnais,True
19,F. Chaïbi,Algeria,MID,74,8500000,Eintracht Frankfurt,True
20,H. Belkebla,Algeria,MID,74,3000000,Angers SCO,True
21,R. Zerrouki,Algeria,MID,73,3300000,FC Twente,True
22,R. Guitane,Algeria,FWD,73,3600000,GD Estoril Praia,True
23,A. Kadri,Algeria,MID,73,4000000,KAA Gent,True
24,M. Belloumi,Algeria,MID,73,4800000,Hull City,True
25,S. Bendebka,Algeria,MID,72,1600000,Al Fateh,True
26,A. Bedrane,Algeria,DEF,72,1100000,Damac FC,True
27,Y. Benzia,Algeria,MID,72,2300000,Al Fayha,False
28,M. Fares,Algeria,MID,71,1800000,Lazio,False
29,A. Kendouci,Algeria,MID,71,2400000,FC Lugano,False
30,I. Maza,Algeria,MID,71,4400000,Bayer 04 Leverkusen,False
31,L. Martínez,Argentina,FWD,88,99000000,Inter,True
32,A. Mac Allister,Argentina,MID,87,93000000,Liverpool,True
33,J. Alvarez,Argentina,FWD,87,107000000,Atlético Madrid,True
34,P. Dybala,Argentina,MID,86,56500000,Roma,True
35,L. Messi,Argentina,FWD,86,22000000,Inter Miami,True
36,E. Martínez,Argentina,GK,85,26500000,Aston Villa,True
37,E. Fernández,Argentina,MID,84,57000000,Chelsea,True
38,E. Palacios,Argentina,MID,84,52000000,Bayer 04 Leverkusen,True
39,R. De Paul,Argentina,MID,84,34500000,Inter Miami,True
40,G. Lo Celso,Argentina,MID,82,30000000,Real Betis Balompié,True
41,G. Rulli,Argentina,GK,82,10000000,Olympique de Marseille,True
42,C. Romero,Argentina,DEF,82,32500000,Tottenham Hotspur,True
43,N. Otamendi,Argentina,DEF,82,5500000,SL Benfica,True
44,Á. Di María,Argentina,FWD,82,10000000,Rosario Central,True
45,L. Balerdi,Argentina,DEF,81,30000000,Olympique de Marseille,True
46,G. Simeone,Argentina,MID,81,39500000,Atlético Madrid,True
47,L. Martínez,Argentina,DEF,81,26000000,Manchester United,True
48,M. Icardi,Argentina,FWD,81,21000000,Galatasaray SK,True
49,V. Castellanos,Argentina,FWD,80,25000000,Lazio,True
50,J. Foyth,Argentina,DEF,79,17500000,Villarreal CF,True
51,F. Medina,Argentina,DEF,79,21500000,Olympique de Marseille,True
52,T. Almada,Argentina,MID,79,35000000,Atlético Madrid,True
53,N. Domínguez,Argentina,MID,79,18000000,Nottingham Forest,True
54,N. Molina,Argentina,DEF,79,18500000,Atlético Madrid,True
55,W. Benítez,Argentina,GK,79,8500000,Crystal Palace,True
56,Nico Paz,Argentina,MID,79,38500000,Como,True
57,P. Gazzaniga,Argentina,GK,79,5500000,Girona FC,False
58,A. Batalla,Argentina,GK,79,13500000,Rayo Vallecano,False
59,A. Varela,Argentina,MID,79,25500000,FC Porto,False
60,J. Musso,Argentina,GK,79,9500000,Atlético Madrid,False
61,M. Ryan,Australia,GK,78,4600000,Levante UD,True
62,J. Irvine,Australia,MID,75,4400000,FC St. Pauli,True
63,C. Goodwin,Australia,MID,73,1900000,Adelaide United,True
64,H. Souttar,Australia,DEF,73,3300000,Leicester City,True
65,C. Burgess,Australia,DEF,73,2500000,Swansea City,True
66,R. McGree,Australia,MID,72,2800000,Middlesbrough,True
67,M. Luongo,Australia,MID,72,1600000,Millwall FC,True
68,N. Milanović,Australia,MID,71,2700000,Aberdeen,True
69,A. Circati,Australia,DEF,71,3900000,Parma,True
70,M. Boyle,Australia,FWD,71,1500000,Hibernian,True
71,K. Rowles,Australia,DEF,71,1900000,DC United,True
72,A. Grant,Australia,DEF,71,1300000,Sydney FC,True
73,C. Devlin,Australia,MID,71,2200000,Hearts,True
74,A. O'Neill,Australia,MID,70,1500000,New York City FC,True
75,B. Borrello,Australia,FWD,70,1600000,Western Sydney Wanderers,True
76,A. Carter,Australia,FWD,70,1600000,Santa Clara,True
77,N. D'Agostino,Australia,FWD,70,1900000,Viking FK,True
78,M. Leckie,Australia,MID,70,725000,Melbourne City FC,True
79,P. Izzo,Australia,GK,70,1100000,Randers FC,True
80,R. Teague,Australia,MID,69,2900000,KV Mechelen,True
81,R. Williams,Australia,FWD,69,1200000,Bengaluru FC,True
